voxel_ID x y z sigma_vM epsilon_V^0.0(F)_vM
132 0 8 4 1.218016e+08 1.340697e-01
133 0 8 5 7.767885e+07 1.356909e-01
134 0 8 6 1.042955e+08 8.958069e-02
135 0 8 7 9.948532e+07 8.146403e-02
136 0 8 8 1.116945e+08 1.050453e-01
137 0 8 9 9.303281e+07 1.306039e-01
138 0 8 10 1.224271e+08 8.944602e-02
139 0 8 11 1.163859e+08 6.698362e-02
140 0 8 12 1.255513e+08 1.139679e-01
141 0 8 13 1.188039e+08 8.924295e-02
142 0 8 14 1.258267e+08 9.957443e-02
143 0 8 15 1.159127e+08 8.475319e-02
144 0 9 0 1.185695e+08 9.247232e-02
145 0 9 1 1.199700e+08 8.167049e-02
146 0 9 2 9.789677e+07 1.290171e-01
147 0 9 3 9.392282e+07 1.415500e-01
148 0 9 4 9.361955e+07 1.363952e-01
149 0 9 5 1.111247e+08 1.505132e-01
150 0 9 6 9.353457e+07 1.141050e-01
151 0 9 7 1.132324e+08 1.143830e-01
152 0 9 8 1.075319e+08 1.217066e-01
153 0 9 9 1.160919e+08 8.424683e-02
154 0 9 10 9.382021e+07 6.005968e-02
155 0 9 11 1.173391e+08 8.722841e-02
156 0 9 12 1.153629e+08 8.894539e-02
157 0 9 13 1.180086e+08 8.944213e-02
158 0 9 14 1.258660e+08 9.636876e-02
159 0 9 15 1.173678e+08 9.279074e-02
160 0 10 0 1.029079e+08 8.384558e-02
161 0 10 1 1.134022e+08 7.735412e-02
162 0 10 2 1.078409e+08 9.665528e-02
163 0 10 3 9.693824e+07 9.560206e-02
164 0 10 4 8.994259e+07 1.679525e-01
165 0 10 5 9.039883e+07 9.638451e-02
166 0 10 6 8.432070e+07 1.567130e-01
167 0 10 7 8.577666e+07 1.588033e-01
168 0 10 8 1.122438e+08 1.092488e-01
169 0 10 9 1.210651e+08 1.210457e-01
170 0 10 10 8.534352e+07 2.923185e-02
171 0 10 11 7.349741e+07 1.060974e-01
172 0 10 12 1.108890e+08 9.041427e-02
173 0 10 13 1.128815e+08 9.165635e-02
174 0 10 14 1.226821e+08 1.035079e-01
175 0 10 15 1.208894e+08 1.298412e-01
176 0 11 0 1.055750e+08 1.127278e-01
177 0 11 1 9.834840e+07 6.782129e-02
178 0 11 2 1.092181e+08 9.092393e-02
179 0 11 3 1.076053e+08 8.637642e-02
180 0 11 4 1.016351e+08 1.196728e-01
181 0 11 5 8.488493e+07 1.658091e-01
182 0 11 6 9.140870e+07 1.683157e-01
183 0 11 7 7.949954e+07 1.258028e-01
184 0 11 8 1.051841e+08 1.173419e-01
185 0 11 9 1.071014e+08 1.031219e-01
186 0 11 10 9.869514e+07 6.588255e-02
187 0 11 11 7.415158e+07 1.247636e-01
188 0 11 12 7.162032e+07 1.405922e-01
189 0 11 13 1.074638e+08 9.930434e-02
190 0 11 14 1.020414e+08 4.918770e-02
191 0 11 15 9.606780e+07 1.003957e-01
192 0 12 0 1.133746e+08 1.223265e-01
193 0 12 1 6.885075e+07 1.194044e-01
194 0 12 2 9.938257e+07 8.012697e-02
195 0 12 3 1.021094e+08 9.324396e-02
196 0 12 4 8.689487e+07 7.770196e-02
197 0 12 5 8.225383e+07 1.594850e-01
198 0 12 6 8.486313e+07 1.708846e-01
199 0 12 7 9.168411e+07 1.449236e-01
200 0 12 8 8.835261e+07 1.382005e-01
201 0 12 9 1.266562e+08 8.100920e-02
202 0 12 10 1.078267e+08 1.095336e-01
203 0 12 11 9.496063e+07 1.406902e-01
204 0 12 12 8.734219e+07 1.253726e-01
205 0 12 13 9.353355e+07 8.388901e-02
206 0 12 14 1.030130e+08 2.799171e-02
207 0 12 15 1.070594e+08 5.214499e-02
208 0 13 0 1.169373e+08 4.096849e-02
209 0 13 1 1.139158e+08 1.219635e-01
210 0 13 2 9.168687e+07 9.270113e-02
211 0 13 3 8.783788e+07 8.329434e-02
212 0 13 4 9.799218e+07 1.389892e-01
213 0 13 5 9.211750e+07 1.478717e-01
214 0 13 6 8.084663e+07 1.632813e-01
215 0 13 7 8.696349e+07 1.250092e-01
216 0 13 8 7.867340e+07 1.081553e-01
217 0 13 9 1.067419e+08 1.519560e-01
218 0 13 10 9.273251e+07 1.579169e-01
219 0 13 11 8.867655e+07 1.155719e-01
220 0 13 12 1.088094e+08 9.826131e-02
221 0 13 13 1.040518e+08 4.428190e-02
222 0 13 14 1.246318e+08 8.518744e-02
223 0 13 15 1.045586e+08 5.479341e-02
224 0 14 0 1.017773e+08 5.215296e-02
225 0 14 1 1.104011e+08 4.160110e-02
226 0 14 2 1.003572e+08 9.978362e-02
227 0 14 3 6.939978e+07 1.307100e-01
228 0 14 4 8.923248e+07 8.772052e-02
229 0 14 5 1.153261e+08 1.228149e-01
230 0 14 6 8.527548e+07 1.582861e-01
231 0 14 7 1.240755e+08 1.457487e-01
232 0 14 8 1.254978e+08 1.467366e-01
233 0 14 9 1.073726e+08 1.620598e-01
234 0 14 10 1.098577e+08 1.430732e-01
235 0 14 11 1.188300e+08 1.001575e-01
236 0 14 12 1.165169e+08 4.894737e-02
237 0 14 13 1.089778e+08 8.762456e-02
238 0 14 14 7.809015e+07 9.863482e-02
239 0 14 15 1.036234e+08 5.551938e-02
240 0 15 0 7.018347e+07 5.101301e-02
241 0 15 1 9.485579e+07 5.173487e-02
242 0 15 2 7.806807e+07 1.053677e-01
243 0 15 3 9.474794e+07 8.984386e-02
244 0 15 4 1.064080e+08 8.268862e-02
245 0 15 5 7.484789e+07 1.761787e-01
246 0 15 6 1.115076e+08 1.438053e-01
247 0 15 7 1.170382e+08 1.169778e-01
248 0 15 8 1.208214e+08 1.387153e-01
249 0 15 9 1.290086e+08 1.387762e-01
250 0 15 10 1.227156e+08 1.466569e-01
251 0 15 11 1.144063e+08 6.832775e-02
252 0 15 12 1.059454e+08 6.971093e-02
253 0 15 13 8.259158e+07 9.534015e-02
254 0 15 14 7.426029e+07 1.127036e-01
255 0 15 15 7.752417e+07 8.775059e-02
256 1 0 0 7.576186e+07 1.080422e-01
257 1 0 1 1.122517e+08 7.136249e-02
258 1 0 2 1.152842e+08 4.000653e-02
259 1 0 3 1.151877e+08 1.030096e-01
260 1 0 4 1.020526e+08 1.163562e-01
261 1 0 5 1.131943e+08 1.433686e-01
262 1 0 6 1.095980e+08 1.459165e-01
263 1 0 7 1.154819e+08 1.404046e-01
264 1 0 8 1.201409e+08 1.657610e-01
265 1 0 9 1.167738e+08 1.213745e-01
266 1 0 10 1.127156e+08 8.829844e-02
267 1 0 11 1.139070e+08 7.889424e-02
268 1 0 12 1.131963e+08 1.042101e-01
269 1 0 13 9.942609e+07 1.224691e-01
270 1 0 14 8.858403e+07 1.087708e-01
271 1 0 15 7.012532e+07 6.674990e-02
272 1 1 0 9.911752e+07 4.537657e-02
273 1 1 1 8.838207e+07 5.482391e-02
274 1 1 2 8.893267e+07 9.563336e-02
275 1 1 3 1.001319e+08 7.769470e-02
276 1 1 4 9.229293e+07 1.164970e-01
277 1 1 5 9.148003e+07 1.240900e-01
278 1 1 6 9.376179e+07 1.394997e-01
279 1 1 7 8.991290e+07 2.042414e-01
280 1 1 8 1.142791e+08 1.008251e-01
281 1 1 9 1.054409e+08 1.036412e-01
282 1 1 10 1.260693e+08 1.588237e-01
283 1 1 11 9.685566e+07 5.979599e-02
284 1 1 12 8.075031e+07 8.385808e-02
285 1 1 13 9.023098e+07 1.012344e-01
286 1 1 14 1.058794e+08 8.895416e-02
287 1 1 15 1.062687e+08 9.876140e-02
288 1 2 0 1.082271e+08 9.747977e-02
289 1 2 1 1.006944e+08 6.943989e-02
290 1 2 2 9.760869e+07 8.715580e-02
291 1 2 3 9.761918e+07 6.370339e-02
292 1 2 4 9.757095e+07 7.990481e-02
293 1 2 5 8.296657e+07 1.175644e-01
294 1 2 6 8.498935e+07 1.372217e-01
295 1 2 7 8.211784e+07 1.276119e-01
296 1 2 8 8.730097e+07 1.806322e-01
297 1 2 9 8.473453e+07 1.636588e-01
298 1 2 10 7.586087e+07 9.007651e-02
299 1 2 11 8.504288e+07 1.132272e-01
300 1 2 12 7.678047e+07 9.100031e-02
301 1 2 13 8.521540e+07 9.073138e-02
302 1 2 14 9.648441e+07 6.847248e-02
303 1 2 15 1.023425e+08 8.149979e-02
304 1 3 0 9.045931e+07 5.162099e-02
305 1 3 1 8.863186e+07 9.852954e-02
306 1 3 2 9.785243e+07 8.376268e-02
307 1 3 3 1.012854e+08 8.565121e-02
308 1 3 4 1.032308e+08 9.665401e-02
309 1 3 5 7.603803e+07 9.022659e-02
310 1 3 6 8.319050e+07 1.317222e-01
311 1 3 7 8.104188e+07 1.023956e-01
312 1 3 8 1.113025e+08 1.344456e-01
313 1 3 9 8.633541e+07 1.716527e-01
314 1 3 10 8.211475e+07 1.535310e-01
315 1 3 11 7.586370e+07 1.262798e-01
316 1 3 12 9.715088e+07 8.032340e-02
317 1 3 13 7.543789e+07 9.771214e-02
318 1 3 14 8.571730e+07 9.739298e-02
319 1 3 15 7.805213e+07 6.982156e-02
320 1 4 0 9.928077e+07 1.307466e-01
321 1 4 1 1.018668e+08 6.185318e-02
322 1 4 2 1.228132e+08 1.027237e-01
323 1 4 3 1.092660e+08 8.676213e-02
324 1 4 4 1.044644e+08 6.667210e-02
325 1 4 5 8.112241e+07 1.255915e-01
326 1 4 6 7.749228e+07 8.775888e-02
327 1 4 7 9.984825e+07 1.046857e-01
328 1 4 8 1.205677e+08 1.521450e-01
329 1 4 9 9.658142e+07 1.634526e-01
330 1 4 10 9.874303e+07 1.007477e-01
331 1 4 11 1.023993e+08 1.150610e-01
332 1 4 12 7.942124e+07 1.459679e-01
333 1 4 13 8.389275e+07 1.215112e-01
334 1 4 14 7.524845e+07 6.629248e-02
335 1 4 15 8.170553e+07 8.756201e-02
336 1 5 0 1.028955e+08 8.940520e-02
337 1 5 1 1.055847e+08 1.066664e-01
338 1 5 2 1.180254e+08 1.184347e-01
339 1 5 3 8.221449e+07 1.038754e-01
340 1 5 4 9.213887e+07 1.046193e-01
341 1 5 5 7.973215e+07 1.004966e-01
342 1 5 6 9.996659e+07 1.389237e-01
343 1 5 7 1.004169e+08 9.459799e-02
344 1 5 8 8.667021e+07 1.480471e-01
345 1 5 9 1.015178e+08 1.852300e-01
346 1 5 10 1.305629e+08 8.014768e-02
347 1 5 11 1.196617e+08 1.042519e-01
348 1 5 12 1.257711e+08 1.129367e-01
349 1 5 13 1.026394e+08 1.051303e-01
350 1 5 14 8.767237e+07 6.601091e-02
351 1 5 15 1.012640e+08 7.987753e-02
352 1 6 0 1.009177e+08 7.937694e-02
353 1 6 1 1.073163e+08 9.898441e-02
354 1 6 2 1.067176e+08 1.038642e-01
355 1 6 3 8.005410e+07 1.059472e-01
356 1 6 4 8.291469e+07 1.596529e-01
357 1 6 5 8.236915e+07 1.516615e-01
358 1 6 6 1.003061e+08 7.365617e-02
359 1 6 7 8.591527e+07 1.208379e-01
360 1 6 8 9.165298e+07 2.058817e-01
361 1 6 9 8.597390e+07 1.644093e-01
362 1 6 10 1.075139e+08 5.965388e-02
363 1 6 11 1.155328e+08 7.808205e-02
364 1 6 12 1.142294e+08 9.037614e-02
365 1 6 13 1.188537e+08 8.435918e-02
