N,  von Mises (Pa), strain
2,  9.921264e+07,   1.039728e-01
8,  1.030704e+08,   1.064611e-01
16, 1.010580e+08,   1.065277e-01
32, 1.034206e+08,   1.065255e-01
64, 1.043091e+08,   1.066203e-01
